price,sold,Free_Shipping,Paid_Shipping
73.81,3,1,0.0
144.77,0,1,0.0
141.79,0,1,0.0
218.14,0,1,0.0
96.22,0,1,0.0
73.01,1,1,0.0
95.67,0,1,0.0
58.65,0,1,0.0
376.32,27,1,0.0
184.12,0,1,0.0
156.62,2,1,0.0
333.27,7,1,0.0
155.49,8,1,0.0
147.94,0,1,0.0
236.24,0,1,0.0
32.56,9,1,0.0
180.77,0,1,0.0
58.97,1,1,0.0
198.03,1,1,0.0
140.77,0,1,0.0
310.65,1,1,0.0
55.61,3,1,0.0
186.58,0,1,0.0
788.22,7,1,0.0
111.6,1,1,0.0
54.26,7,1,0.0
188.67,11,1,0.0
101.44,0,1,0.0
36.28,5,1,0.0
190.56,0,1,0.0
43.26,13,1,0.0
826.09,0,1,0.0
111.83,8,1,0.0
128.15,6,1,0.0
61.33,0,1,0.0
142.64,11,1,0.0
24.34,33,1,0.0
70.75,1,1,0.0
64.02,8,1,0.0
127.38,2,1,0.0
33.89,17,1,0.0
33.17,14,1,0.0
232.83,0,1,0.0
169.53,1,1,0.0
78.05,0,1,0.0
36.35,81,1,0.0
189.39,3,1,0.0
160.46,0,1,0.0
285.28,0,1,0.0
233.46,405,0,109.18
179.1,0,1,0.0
85.49,1,1,0.0
138.05,3,1,0.0
11.52,2,1,0.0
30.92,3,1,0.0
7.89,18,1,0.0
390.33,0,1,0.0
345.93,1,1,0.0
143.54,1,1,0.0
58.94,0,1,0.0
100.62,1,1,0.0
74.55,1,1,0.0
159.05,7,1,0.0
125.49,0,1,0.0
113.88,1,1,0.0
56.73,0,1,0.0
72.01,0,1,0.0
135.54,1,1,0.0
82.24,1,1,0.0
250.7,0,1,0.0
101.44,0,1,0.0
780.68,0,1,0.0
307.48,0,1,0.0
143.78,1,1,0.0
102.21,4,1,0.0
262.21,2,1,0.0
52.96,2,1,0.0
87.8,3,1,0.0
96.82,12,1,0.0
118.64,1,1,0.0
164.43,4,1,0.0
67.07,0,1,0.0
143.91,1,1,0.0
127.97,0,1,0.0
56.34,0,1,0.0
82.73,1,1,0.0
174.13,0,1,0.0
211.68,3,1,0.0
51.17,0,1,0.0
61.7,0,1,0.0
113.09,4,1,0.0
209.11,34,1,0.0
156.27,4,1,0.0
117.88,0,1,0.0
143.9,2,1,0.0
49.28,6,1,0.0
81.36,20,1,0.0
138.68,8,1,0.0
50.31,1,1,0.0
241.96,0,1,0.0
29.44,42,1,0.0
522.4,0,1,0.0
30.29,1,1,0.0
124.14,0,1,0.0
35.14,4,1,0.0
153.68,7,1,0.0
34.1,0,1,0.0
110.22,1,1,0.0
162.3,0,1,0.0
7.67,134,1,0.0
82.68,0,1,0.0
186.72,1,1,0.0
247.7,1,1,0.0
85.64,14,1,0.0
25.89,16,1,0.0
8.12,4,0,106.13
85.95,1,1,0.0
216.99,4,1,0.0
125.8,2,1,0.0
47.31,3,1,0.0
49.49,1,1,0.0
212.86,2,1,0.0
187.48,8,1,0.0
251.04,1,1,0.0
47.92,2,1,0.0
60.14,2,1,0.0
33.79,1,1,0.0
219.63,0,1,0.0
80.76,0,1,0.0
44.53,2,1,0.0
149.47,2,1,0.0
56.16,11,1,0.0
141.05,0,1,0.0
56.36,47,1,0.0
172.94,2,1,0.0
172.51,2,1,0.0
157.75,2,1,0.0
28.75,38,1,0.0
287.38,0,1,0.0
82.18,1,1,0.0
147.36,0,1,0.0
268.85,0,1,0.0
0.99,2,1,0.0
187.88,34,1,0.0
97.27,1,1,0.0
47.33,4,1,0.0
189.19,0,1,0.0
143.83,0,1,0.0
26.5,1,1,0.0
188.03,0,1,0.0
154.5,3,1,0.0
139.63,0,1,0.0
187.95,3,1,0.0
171.76,2,1,0.0
261.54,7,1,0.0
143.93,1,1,0.0
136.66,0,1,0.0
50.42,10,1,0.0
245.91,3,1,0.0
102.19,8,1,0.0
